Total Gangnam-gu: 78
Category counts in Gangnam-gu:
  - 의원: 70
  - 보건소: 1
  - 기초정신건강복지센터: 1
  - 공립: 1
  - 상급종합병원: 2
  - 병원: 1
  - 종합병원: 1
  - 정신재활시설: 1

List of all Gangnam-gu institutions:
1. 강남 연정신건강의학과의원 | 의원 | 서울특별시 강남구 학동로 338 강남파라곤 1층 101호
2. 강남구 보건소 | 보건소 | 서울특별시 강남구 선릉로 668 
3. 강남구 정신건강복지센터 | 기초정신건강복지센터 | 서울특별시 강남구 자곡로 100, 자곡문화센터 2층
4. 강남구립 행복요양병원 | 공립 | 서울특별시 강남구 헌릉로 590길 60
5. 강남정신건강의학과의원 | 의원 | 서울특별시 강남구 테헤란로 119 (역삼동, 5층 일부)
6. 강남하늘정신건강의학과의원 | 의원 | 서울특별시 강남구 봉은사로 105 5층
7. 고정인정신건강의학과의원 | 의원 | 서울특별시 강남구 테헤란로 313 211~212호 (역삼동, 성아하이츠 1차)
8. 기린정신건강의학과의원 | 의원 | 서울특별시 강남구 봉은사로 474 2층 203호 (삼성동, 쌍용 플래티넘)
9. 김동현정신건강의학과의원 | 의원 | 서울특별시 강남구 언주로 869 4층 (신사동)
10. 김정일정신건강의학과의원 | 의원 | 서울특별시 강남구 선릉로 603 3층 (논현동)
11. 김준정신건강의학과의원 | 의원 | 서울특별시 강남구 논현로 833 재경빌딩 5층 501호 (신사동)
12. 나눔정신건강의학과의원 | 의원 | 서울특별시 강남구 삼성로 38 개포빌딩 4층 403호 (개포동)
13. 노명선정신건강의학과의원 | 의원 | 서울특별시 강남구 선릉로 523 (역삼동, 유림빌딩 3층일부)
14. 노왕구정신건강의학과의원 | 의원 | 서울특별시 강남구 압구정로 156 307호 (신사동, 카로시티2빌딩)
15. 대치마음정신건강의학과의원 | 의원 | 서울특별시 강남구 남부순환로 2927 대치 클래시아 3층 301호 (대치동)
16. 더맑은신경정신과의원 | 의원 | 서울특별시 강남구 논현로 507 301호 (역삼동, 성지하이츠3차빌딩)
17. 레브린정신건강의학과의원 | 의원 | 서울특별시 강남구 삼성로140길 6 라파빌딩 2층 (청담동)
18. 로뎀정신과의원 | 의원 | 서울특별시 강남구 삼성로96길 27 401호 (삼성동, 진솔빌딩)
19. 류한욱정신과의원 | 의원 | 서울특별시 강남구 학동로 342 (논현동, 301, 301-1호)
20. 마음누리정신과의원 | 의원 | 서울특별시 강남구 삼성로 155 419, 420호 (대치동, 대치퍼스트빌딩)
21. 마음쉼정신건강의학과의원 | 의원 | 서울특별시 강남구 강남대로 238 스카이쏠라빌딩 10층 (도곡동)
22. 마인드랩공간정신건강의학과의원 | 의원 | 서울특별시 강남구 언주로130길 10 지하2층 (논현동)
23. 마인드힐링정신건강의학과의원 | 의원 | 서울특별시 강남구 선릉로86길 17 702호 (대치동, 선릉엠티빌딩)
24. 메티스정신과의원 | 의원 | 서울특별시 강남구 언주로 413 4층 (역삼동)
25. 문홍세신경정신과의원 | 의원 | 서울특별시 강남구 강남대로 524 (논현동)
26. 미소정신건강의학과의원 | 의원 | 서울특별시 강남구 논현로 841 제이비 미소빌딩 3층 310호 (신사동)
27. 박진생정신건강의학과의원 | 의원 | 서울특별시 강남구 테헤란로 313 216,217호 (역삼동, 성지하이츠1)
28. 변영돈신경정신과의원 | 의원 | 서울특별시 강남구 선릉로 340 대치 EM 프라자 405호 (대치동)
29. 빛날정신건강의학과의원 | 의원 | 서울특별시 강남구 학동로 342 에스케이 허브블루 210호 (논현동)
30. 삼성서울병원 | 상급종합병원 | 서울특별시 강남구 일원로 81 (일원동, 삼성의료원)
31. 서울성모정신건강의학과의원 | 의원 | 서울특별시 강남구 광평로56길 8-13 수서타워 302, 303호 (수서동)
32. 선릉김정신과의원 | 의원 | 서울특별시 강남구 테헤란로 410 (대치동, 금강타워 502호)
33. 성모정신건강의학과의원 | 의원 | 서울특별시 강남구 테헤란로87길 13 6층 (삼성동)
34. 성모힐정신건강의학과의원 | 의원 | 서울특별시 강남구 강남대로 328 강남역 쉐르빌 2층 208,209호 (역삼동)
35. 세림서울정신건강의학과의원 | 의원 | 서울특별시 강남구 학동로 423 207호 (청담동, 청우빌딩)
36. 소민정신건강의학과의원 | 의원 | 서울특별시 강남구 영동대로 602 3층 304호 (삼성동, 삼성동미켈란107)
37. 수서삼성정신건강의학과의원 | 의원 | 서울특별시 강남구 밤고개로1길 10 201호 (수서동, 수서현대벤쳐빌)
38. 쉼플러스정신건강의학과의원 | 의원 | 서울특별시 강남구 학동로 215 씨엘타워 602호층 (논현동)
39. 신석호정신과의원 | 의원 | 서울특별시 강남구 개포로 615 201-1호, 308호 (개포동)
40. 심온정신건강의학과의원 | 의원 | 서울특별시 강남구 압구정로 212 302호 (신사동, 방우빌딩 302호)
41. 연세대학교의과대학 강남세브란스병원 | 상급종합병원 | 서울특별시 강남구 언주로 211 강남세브란스병원 (도곡동)
42. 연세라이프정신건강의학과의원 | 의원 | 서울특별시 강남구 테헤란로 111 준경타워 4층 (역삼동)
43. 연세맑음정신건강의학과의원 | 의원 | 서울특별시 강남구 선릉로62길 7 경산빌딩 4층 (대치동)
