Public and National institutions in Seoul:
1. 강남구립 행복요양병원 | 공립 | 서울특별시 강남구 헌릉로 590길 60
2. 경찰병원 | 국립 | 서울특별시 송파구 송이로 123
3. 국립중앙의료원 | 국립 | 서울특별시 중구 을지로 245
4. 서울대학교병원 | 국립 | 서울특별시 종로구 대학로 101
5. 서울적십자병원 | 공립 | 서울특별시 종로구 새문안로 9
6. 서울특별시 동부병원 | 공립 | 서울특별시 동대문구 무학로 124
7. 서울특별시 북부병원 | 공립 | 서울특별시 중랑구 양원역로 38
8. 서울특별시 서남병원 | 공립 | 서울특별시 양천구 신정이펜1로 20(신정동)
9. 서울특별시 서북병원 | 공립 | 서울특별시 은평구 갈현로7길 49
10. 서울특별시 서울의료원 | 공립 | 서울특별시 중랑구 신내로 156
11. 서울특별시 어린이병원 | 공립 | 서울특별시 서초구 헌릉로 260
12. 서울특별시 은평병원 | 공립 | 서울특별시 은평구 백련산로 90
13. 서울특별시보라매병원 | 공립 | 서울특별시 동작구 보라매로5길 20
14. 한국보훈복지의료공단 중앙보훈병원 | 공립 | 서울특별시 강동구 진황도로 61길 53
15. 한국원자력의학원원자력병원 | 공립 | 서울특별시 노원구 노원로 75
